C0 (1065 objects)	C1 (108 objects)	C2 (511 objects)
856459		853552
850863		853573
852240		856389
853630		851758,850861
851200		851007,854362
851223		854059
851272		855679
852282		854025
856188		855829
850310		856294
851432		854096
851611		854124
851678		854160
851706		854292
851733		854295
851763		854346
851891		854356
851906		855968,854401
851923		854479
852006		854488
852007		855867
852016		855521
852035		856007
852100		852522
852123		855732
852146		856126
856655		856161
856675		850504
856693		852457
856767		855584
856824		851697
852858		856741
852874		856860
852885		852636
851039,852893		854765
852904		853308,853926
853418		850950
852925		855197
852938		855897
852939		856321
852973		850508
853098		851614
851326		853539
853191		855543
853199		856615
853568		852685
856404		855103
856448		854241
856455		852291
856485		853733,855130
856519		855170
854668		855860
854690		854227
854693		851254
854711		850577
854740		855883
853230		850865
853332		856652
853398		856660
853512		851135
853526		852881
853580		853147
850690		855574
853716		852433
853743		
853855		
853326,853916		
853302,853935		
853949		
850631		
850688		
850763		
850795		
850817		
850966		
851027		
856815		
854868		
854872,855303		
854903		
855008		
855049		
855268		
855276		
855301		
855329		
851931		
855442		
855448		
856560,855464		
855469		
855473		
855547		
850466,851182,855588		
855602		
855639		
855643		
855662		
855768		
855782		
854019		
851998		
856310		
854136		
854203		
854289		
854334		
854373		
854376		
854477		
854515		
854303		
854099,855870,856239		
855893		
855913		
856022		
856130		
856134		
856212		
856245		
856267		
856320		
850790		
851924		
855264		
854331		
850890		
851389		
854123		
854469		
853373		
852222		
851554		
855403		
855746		
852144		
854986		
856574		
851682		
856608		
850400		
854678		
852982		
855042		
855266		
853445		
855182		
851085		
854165		
856088,850544		
851632		
854152		
852196		
855832		
853429		
853851		
852501		
853724		
853438		
855695		
850912		
853768		
855957		
851267		
852813		
855143		
854994		
852832		
852618		
851717		
852810		
853023		
852088		
851226,854181		
852986		
850883		
854790		
853596		
850894		
855652		
852536		
851748		
853333		
851412		
854664		
850589		
856570		
850919		
855737		
851587		
855616		
856921,851672		
856647		
853638		
853447		
852713		
852169		
855841		
851384		
851664		
854761		
853099		
854644		
855009		
852721		
850687		
850734		
855766		
854127		
853830		
854909		
856154		
854997		
852187		
854371		
850745		
852497		
854789		
852704		
854517		
850298		
854283		
850893		
852665		
852244		
856105		
854211		
852785		
853535		
853146		
855263		
851208		
851210		
856399		
852882,851264		
856014		
852180		
852202		
852271		
852313		
852314		
852323		
852353		
852403		
852407		
852412		
852459		
852468		
852530		
852544		
852550		
851605		
852556		
852564		
850352		
850360		
850376		
850381		
850402		
850414		
850420		
850423		
850435		
851353,850486,855384,853621		
851362		
851319		
851334		
851383		
851388		
856398		
850314		
851095		
852782		
854204		
855245		
851477,855173		
853809		
852793		
851499		
855446		
855984,854379		
851530		
853118		
851563		
852675		
851584		
850846		
851249		
850394		
851351,853624		
851418,851335		
851433		
851615		
850821		
855804		
855136,853729		
855254		
855429		
855458		
855561		
851698		
856243		
851857		
854214		
851237,854557		
851736		
856913,851667		
856218		
851777		
851148		
851798		
851820		
851823		
852709		
851861		
855890		
851894		
851900		
856463,851907		
853082		
850388		
851939		
851942		
851955		
852225		
853597		
852076		
852083		
852098		
856694		
856714		
856725		
856778		
856782		
856790		
856811		
856819		
856846		
856863		
856884		
856900		
856915		
852606		
852616		
852651		
852729		
852779		
852786		
852815		
855889		
852846		
852875		
852908		
852977		
852988		
852995		
853048		
853061		
853081		
853109		
853114		
853124		
853170		
856413		
856460		
856462		
856467		
856473		
856474		
856475		
856476		
856507		
856522		
856553		
856575		
856601		
855951		
854672		
854688		
854717		
854726		
854746		
854768		
854792		
854850		
854852		
853287		
853317		
853342		
853358		
853397		
853441		
853464		
853470		
853471		
853473		
853481		
853527		
853531		
853534		
853604		
853653		
853684		
853706		
853713		
855140		
853750		
853762		
852617		
853860		
853866		
850686		
853894		
853910		
853943		
853956		
850649		
850698		
850709		
850869		
850944		
850945		
850951		
850955		
850982		
850998		
851052		
851065		
851098		
851117		
851125		
851139		
851181		
854865		
854877		
854935		
854938		
854987		
855036		
855051		
855084		
855093		
850484,855120,855382		
855383,855121,850485		
855159		
855161		
852065		
855190		
855202		
855240		
855260		
855284		
855304		
855321		
855335		
855392		
855396		
855426		
855502		
855514		
855536		
855553		
855575		
855591		
855632		
851386		
854948,856626,851152		
855651		
854357,851000		
852317		
856911		
855665		
856686		
851752		
855709		
855722		
855726		
851713		
856412		
855763		
851006		
853959		
853608		
851217		
852211,856836		
855789		
850323		
850324		
851317		
851608,851609,851610		
851785		
852015,854324,854506		
854023		
852778		
856488		
856609		
854699		
853995		
854853		
853996		
854055		
850779		
854060		
855135		
855257		
855640		
854027		
854070		
854093		
855978		
856017		
856099		
855580		
854889		
854138		
853348		
855778		
854163		
854213		
854233		
854252		
855625,854268		
854286		
854317		
854336		
854377		
854381		
854382		
854386		
854397		
854407		
854415		
854417		
854432		
854448		
854487		
854519		
854530		
854560		
855862		
855863		
855874		
855875		
855884		
855887		
855894		
855943		
856012		
856013		
856019		
853792		
856057		
856067		
856119		
856173		
856197		
856209		
856228		
856229		
856234		
856249		
856296		
851415		
854322		
856438		
851898		
854825		
853821		
855836,855224		
854431		
852511		
850342		
852681		
854229		
854820		
853820		
855205,855206		
851369,855512		
854447		
855834		
853019,856260		
852766		
852853		
855560,856544		
856912		
853587		
855343		
851707		
850835		
856415,853700		
854814		
855552		
853869		
850436,855765		
853364		
852365		
854150		
855767		
850527		
853961		
851013		
854840		
853286		
851420		
853181		
852951		
853305,853931		
850358		
855489		
856097		
852800		
852456		
855876		
854663		
854057		
852257		
856746		
851014		
