C0 (1065 objects)	C1 (108 objects)	C2 (511 objects)
2542266		2542522
2541250		2538766
2539741		2539002
2541017		2541601
2542502		2541411
2543440		2540394
2539938		2542577
2542090		2542609
2543621		2543147
2540819		2539419
2543537		2539381
3361548		2542773
2541192		2540204
2542427		2542115
2543488		2541599
2541313,2543377		2543385
2542778		2540898
2542017		2541273
2542857		2541099
2539416		2540054
2543560		2538896
2539887		2542922
2543455		2540065
2543164		2539004
2543662		2542982
2543351		2538774
2541841		2543097
2543344		2540093
2540982		2539581
2542172		2542206
2542541		2538911
2540711		2540642
2541208		2543585
2539308		2542235
2539859		2542204
2542928		2541478
2541140		2540634
2539075		2542583
2540213		2539116
2540968		2541745
2540323		2540999
2543505		2542625
2539801		2540526
2541267		2540616
2542779		2539028
2539923		2543381
2543599		2543245
2540449		2541312
2542274		2541953
2540023		2539516
2539120		2541567
2539170		2540713
2541362		2540857
2539773		2540387
2541976		2540508
2541448		2541739
2543663		2543605
2540061		2541618
2540989		2543169
2541729		2541441
2539633		2538707
2540385		2540995
2543483		2539747
2538705		2543032
2539950,2539980		2539883
2539032		2540482
2542827,5802969		2543570
2538942		2541673
3361531		2540026
2543620		2540379
2542872		2539775
2541985		2539853
2543647		2539564
2542981		2541285
2541110		2542605
2538859		2541593
2540174		2540716
2543074		2542258
2542480		2541555
2540763		2538806
2543535		2540849
3361561		2540489
2542384		2538996
2541477		2539510
2540079		2543430
2541476		2541951
2542148		2538836
2540525		2542795
2539663		2540240
2540648		2540741
2539596		2539335
2540338		2541302
2543209		2543452
2542978		2539965
2542436		2542858
2542663		2542051
2539106		2541383
2541182		2543629
2540978		2539513
2541776		2538797
2540066		2538917
2543021		2541146
2539449		2538758
2540900		2541941
2541834		2542695
2540306		2539622
2539090		2539171
2540185		2543614
2541752		2543233
2540481		2540582
2538781		2540300
2539607		2541418
2543227		2539704
2543268		2541244
2540072		2539217
2542219		2539490
2539839		2540375
2540201		2540422
2543062		2540355
2542843		2540729
2540214		2539266
2541311		2541292
2538895		2539993
2542383		2542790
2541029		2539054
2540842		2538726
2540441		2539614
2543057		2542013,2541612
2538824		2541050
2540539		2543394
2540457		2539931
2541877		2541024
2540269		2538734
2543429		2539940
2541225		2542269
2542336		2541513
2542423		2541060
2540406		2540998
2543388		2543060
2542375		2542742
2539722		2539529
2541368		2540273
2541309		2543283
2541295,2539466,2541799,2542927		2539126
2539834		2542966
2539685		2540051
2539125		2539869
2541026		2538829
2538842		2539786
2542240		2541720
2542322		2542395
2542412		2542714
2543055		2542914
2541235		2542566
2541815		2539027
2539982		3361515
2539187		2540718
2539623		2538983
2542959		2539016
2539294		2541934
2539574		2540029
2541848		2539797
2542700		2540831
2542128		2541519
2542765		2543628
2542493		2542801
2543263		2543267
2539247		2539206
2538762		2542652
2541940		2541439
2539698		2541972
2540019		2541294
2539319		2542180
2541189		2540439
2541348		2540922
3361526		3361436
2539983		2539321
2539094		2540981
2538906		2542824
2542376		2542919
2539039		2542814
2539100		2540719
2542472		
2539162		
2540451		
2539591		
2542455		
2540934,2539551,2540262,2540940,2540286		
2541230		
2542462		
3361398		
2542450		
2543529		
2541987		
2543484		
2541770		
2542498		
2542267		
2543551		
2541540		
2543271		
2543133		
2539238		
2541286		
2539272		
2542800		
2540728		
2542216		
2539103		
2541914		
2542965		
2541784		
2543304		
2541762		
2538943		
2542697		
2541382		
2541708		
2541474		
2539967		
2543606		
2540619		
2540128		
2543526		
2542890		
2543631		
2539800		
2541778		
2538869,2539097,3361387		
2541260		
2541373		
2539820		
2543173		
2538979		
2539164		
2541858		
2538982		
2542917,2539165,2543167		
2539987		
2543417		
2540195		
2540514		
2542757		
2539916		
2542962		
2538778		
2541587		
2540324		
2541194		
2543170		
2543187		
2543591		
2538946		
2540815		
2542022		
2541069		
2543369		
2541853		
2542505		
2541536		
2541176		
2538830,2543077		
2543461		
2542044		
2540493		
2540144		
2539158		
2541428		
2543648		
2542936		
2542768		
2541206		
2542114		
2540788		
2540630		
2541640		
2540567		
2538796		
2541870		
2538799		
2541680		
2540591		
2540122		
2543298		
2542906		
2542730		
2538937		
2540129		
2541470		
2541004		
2539109		
2542439		
2540197		
2542139		
2539636		
2539463		
2541087		
2541542		
2540002		
2542107		
2540572		
2540053		
2542212		
2541319		
2543413		
2539337		
2538992		
2542163		
2542278		
2540578		
2541840		
2539873		
2540305		
2542749		
2539649		
2541077		
2539398		
2541787		
2540751		
2542675		
2542702,2539227		
2539736		
2543485		
2541828		
2539497		
2541444		
2540920,2542989		
2538877		
2539325		
2541629		
2541782		
2539692		
2541234		
3361266,2542109		
2539353		
2542125		
2541786		
2539190		
2540544		
2541094		
2539789		
2541355		
2543658		
2541147		
2539975		
2541485		
2540123		
