Objects	t0	t1	t2	t3
O647	-1.31	0.01	1.12	0.17
O648	0.98	-0.86	-0.86	0.74
O649	0.0	0.0	0.0	0.0
O65	-1.23	-0.4	0.87	0.76
O650	0.0	0.0	0.0	0.0
O651	-0.5	-0.5	-0.5	1.5
O652	-0.5	-0.5	1.5	-0.5
O653	-0.5	1.5	-0.5	-0.5
O654	0.0	0.0	0.0	0.0
O655	-1.42	0.03	0.7	0.7
O656	0.0	0.0	0.0	0.0
O657	0.0	0.0	0.0	0.0
O658	0.96	0.77	-0.86	-0.86
O659	0.0	0.0	0.0	0.0
O66	-0.66	0.27	1.29	-0.91
O660	-0.86	-0.86	0.79	0.94
O661	1.1	0.53	-0.5	-1.12
O662	0.0	0.0	0.0	0.0
O663	1.05	0.66	-0.79	-0.92
O664	-0.84	-0.84	0.51	1.16
O665	0.0	0.0	0.0	0.0
O666	-0.98	1.06	0.64	-0.72
O667	-0.5	-0.5	-0.5	1.5
O668	0.0	0.0	0.0	0.0
O669	0.34	1.26	-0.76	-0.85
O67	0.79	-0.86	-0.86	0.94
O670	0.7	-0.24	-1.31	0.85
O671	0.0	0.0	0.0	0.0
O672	1.17	0.49	-0.86	-0.81
O673	0.82	0.59	0.0	-1.41
O674	-1.41	0.03	0.5	0.87
O675	-0.86	-0.7	0.25	1.31
O676	1.5	-0.5	-0.5	-0.5
O677	1.5	-0.5	-0.5	-0.5
O678	-0.98	1.39	-0.32	-0.09
O679	0.52	0.16	-1.45	0.77
O68	-1.45	0.18	0.5	0.78
O680	-0.41	-1.0	0.06	1.35
O681	-0.86	-0.86	0.68	1.03
O682	0.0	0.0	0.0	0.0
O683	0.0	0.0	0.0	0.0
O684	0.73	0.99	-0.9	-0.82
O685	0.0	0.0	0.0	0.0
O686	-1.33	-0.22	0.72	0.82
O687	0.75	0.97	-0.86	-0.86
O688	-1.05	-0.66	0.81	0.9
O689	0.5	1.01	-0.21	-1.3
O69	1.5	-0.5	-0.5	-0.5
O690	0.49	0.83	0.12	-1.43
O691	0.0	0.0	0.0	0.0
O692	-1.47	0.22	0.53	0.72
O693	0.93	0.8	-0.86	-0.86
O694	0.0	0.0	0.0	0.0
O695	-0.5	-0.5	-0.5	1.5
O696	0.0	0.0	0.0	0.0
O697	1.5	-0.5	-0.5	-0.5
O698	-0.5	-0.5	-0.5	1.5
O699	-1.32	-0.22	0.67	0.87
O70	0.0	0.0	0.0	0.0
O700	0.0	0.0	0.0	0.0
O701	0.0	0.0	0.0	0.0
O702	1.02	0.54	-0.31	-1.25
O703	-1.47	0.24	0.53	0.7
O704	0.0	0.0	0.0	0.0
O705	0.6	-1.5	0.47	0.42
O706	0.0	0.0	0.0	0.0
O707	-0.5	-0.5	-0.5	1.5
O708	-1.16	-0.35	0.31	1.2
O709	1.0	0.72	-0.86	-0.86
O71	0.37	0.8	0.28	-1.46
