C0 (24 objects)	C1 (31 objects)
852775	852293
854943	855269
855420	851484,851122
852295	855664
850456	856063
853833	850625
851115	851419,851336
853497	854518
850637	856411
854816	856226
853968	856687
854903	852146
856560,855464	854711
854127	850631
855804	854515
856601	850745
851098	851319
856911	851499
856609	851530
854699	856846
856013	856553
854229	854717
852853	853317
855552	850982
	851713
	856017
	855875
	853792
	851369,855512
	855560,856544
	853364
