C0 (29 objects)	C1 (14 objects)	C2 (33 objects)
852775	853993	852293
854943	854117	851660
855420	855972	855269
852295	855761	856063
850456	852432	855600
853833	856529	855993
851115	852287	851195
853497	851763	851419,851336
854680	852973	854518
850637	851334	856411
854816	855536	856226
851938	854889	856687
853968	851369,855512	852146
854903	855560,856544	854711
856560,855464		850631
851748		854515
854127		856320
850821		853438
855804		850745
856601		850423
851098		851319
856911		851499
851006		851530
856609		856846
854699		856553
856013		854717
854229		853317
852853		850982
855552		855591
		851713
		856017
		855875
		853364
