C0 (29 objects)	C1 (14 objects)	C2 (33 objects)
2539548,2541130	2539701,2540851	2541116,2542190
2539411	2538892,2542912	2541297
2541486	2539680,2543642	2538897
2542467,2541220,2539804	2538966,2542390	2540871
2539729	2540027	2541812
2543527,2538948	2542512	2541313,2543377
2538955,2543426	2543620	2543662
2540750	2543429	2539308
2538881,2542638	2542959	2540989
2539923	2540399	2539950,2539980
2542872	2541549	2539663
2541632,2539460	2540936,2539864	2542663
2540201	2540199	2541295,2539466,2541799,2542927
2542267	2542789	2539319
2542216		2540934,2539551,2540262,2540940,2540286
2542107		2538869,2539097,3361387
2540920,2542989		2543417
2539655		2540567
2543379,2541480		3361266,2542109
2543420		2541824
2543476		2542369
2543064,2542363		2541779
2543110,2543536		2543197
2543024,2542289,2541387		2539863
2541948		2542514
2541392,2541377,2541401,2541374		2538900
2543309,2542265		2542192
2542848,2542661		2538776
2539756,2541447		2542520
		2543193,2540937
		2543325,3361570
		2543082
		2541318,2541496
