OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe	A	B	C	D	E	F
4642	856311	2538699	0.860717197268	-2.14490150108	0.238116134102	0.413257488633	-0.0233428991333	0.656153580211
4659	853596	2539463	0.861828341784	-0.971607095856	1.52160873978	0.310035834156	-0.402999926645	-1.31886589321
4660	850894	2541087	1.10900292711	-0.501131964781	0.784125116682	0.991667361761	-1.39157806844	-0.992085372325
4662	856576	2540790	-0.686774485988	1.13774544187	-1.1468342914	-1.0878608115	1.16053488702	0.623189260005
4664	855652	2541542	-0.0581511633762	-0.650954783426	0.563186455353	1.9172963819	-0.959118236792	-0.81225865366
4675	852536	2540002	-0.592486116105	-0.681745308321	-1.19697646445	-0.155817311577	1.68534666527	0.941678535186
4681	855342	2540820	-1.18072647096	-0.713242777056	1.18898006725	0.832028534871	-1.05929956233	0.932260208225
4687	851748	2542107	-0.0769449848269	0.860068177378	-0.853546473872	-1.17381399319	1.71159514647	-0.467357871962
4694	853333	2540572	0.534221384148	-0.767275302034	1.45519209685	-0.348808322405	-1.55588169011	0.682551833543
4695	851412	2540053	0.889581498433	0.85132794894	1.02810410105	-0.219877992695	-1.52902314329	-1.02011241244
4696	854664	2542212	0.411758326473	0.720675802055	0.816510428003	0.600794758974	-1.99349771139	-0.556241604115
4705	850589	2541319	-0.560585255928	1.53564646141	-0.975451481113	-0.963672252863	1.18297920598	-0.218916677483
4706	856570	2543413	0.0292134922611	1.30692858276	-1.03365892733	-1.54181900232	0.816455829847	0.422880024794
4711	850919	2539337	0.539162196531	-0.187629674047	1.29250359211	0.84187743603	-0.922884136897	-1.56302941373
4722	855737	2538992	0.975791087642	-0.334596356817	1.06092104294	0.806695407691	-1.33346037888	-1.17535080257
4744	852003	2539539	-0.0890917348053	0.721006276282	-0.598739667667	-1.11307813539	-0.742952293917	1.8228555555
4751	851587	2542163	1.42002060522	-0.674398014919	0.646864338169	0.809144818819	-1.22728486798	-0.974346879316
4760	855616	2542278	-0.943645839905	-0.397483574409	0.145157816939	0.755335976027	1.68025894528	-1.23962332393
4769	856921,851672	2540578	0.217772728919	-1.19242652546	1.24393756672	1.31167255799	-0.87146271453	-0.709493613648
4771	856647	2541840	-1.11455268501	0.698143203159	-1.31690749591	0.0738364883719	1.58925767474	0.0702228146513
4778	853638	2539873	-1.08838016848	-1.17753777382	-0.0104770457894	1.65948188014	-0.183759165856	0.80067227381
4788	856160	2538914	1.04190668594	0.797035427212	-0.0145855718465	-1.58819668021	-1.04778359615	0.81162373505
4802	853447	2540305	0.257761920932	0.694499044264	1.01881810354	0.0736126653758	-2.09878410803	0.0540923739183
48140	852971	2539064	-0.364336176791	0.253369084524	-1.48385724297	-0.823188244096	1.21899722687	1.19901535246
48227	852713	2542749	-0.633962551631	0.925552058612	-1.05153680702	-1.07636989081	1.54709128613	0.289225904714
48343	852169	2539649	-0.776228821219	0.87789716424	-1.05594685017	-1.09692932443	1.34557337433	0.705634457251
48376	851475	2542433	0.79230749033	-1.27686963107	0.586181618275	0.565766991091	-1.52856754966	0.861181081033
48457	855933	2542688	-0.328216809516	-0.0732669429717	-1.67212484747	0.669934626282	1.61204066179	-0.208366688113
48535	852255	2538804	0.28414950709	-1.92484323778	0.68257431465	1.12331458453	-0.568832864169	0.403637695683
4856	855841	2541077	1.36249773164	1.13636076765	-0.0676609003807	-0.300645039375	-0.571468829714	-1.55908372981
48566	850366	2542804	1.14282727956	-1.67453029297	0.339851133744	1.14282727956	-0.565387692757	-0.385587707126
48590	851384	2539398	0.16997409949	0.368350383105	1.02082247596	1.09000637652	-1.10522799978	-1.5439253353
