OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe	time0	time1	time2	time3	time4	time5
100	856112	2542075	0.666295442003	1.23593663497	0.666295442003	0.0327850257345	-0.984370747281	-1.61694179743
10039	852491	2543465	1.52473053346	0.590423078707	0.756648552193	-0.978127392532	-0.993447954277	-0.900226817553
100558	851471	2539055	0.85404491328	0.466255666832	1.38607690948	-1.03308732729	-1.41317969885	-0.26011046345
1006	852612	2540419	-0.853443641669	-1.64545270873	0.0321636743992	0.311798255882	1.34579117659	0.809143243528
100630	854433	2539189	-0.910129937991	-0.661945011387	-1.36102299589	0.910296194387	1.0688729527	0.953928798182
100661	854418	2543506	1.12353721101	0.478414117082	1.20146726365	-0.964354305593	-1.39080835264	-0.448255933514
100734	851666	2542925	-1.47890602354	-0.899283258083	-0.46874629285	0.780282343737	1.17481015538	0.891843075358
10076	854700	2540845	-0.287036742201	-1.40388649843	1.25719008682	1.19403781471	-0.950865832167	0.190561171264
100830	851212	2538913	0.367238608165	0.0949888766194	1.8660362426	-0.798336002927	-1.29710193862	-0.232825785837
10085	850605	2539648	-1.03841317371	-0.136263843318	1.91498947422	-0.460632680089	-0.841499601118	0.561819824019
100934	850543	2543280	1.55903091009	0.63796485975	0.530910621353	-0.89662355792	-0.46852557097	-1.3627572623
10098	854446	2543549	-0.975573965716	-0.137201351958	-1.59971060357	0.937549804881	0.797583504374	0.977352611992
101043	855879	2541666	1.41867566024	0.173134083107	0.950549304203	-1.31677507416	-0.0794462513783	-1.146137722
101105	855243	2540506	0.101672674606	0.608016108126	1.80776218482	-0.925390530809	-1.13389047869	-0.458169958056
10117	856009	2539952	1.33063569214	0.853144975207	0.712443577959	-0.90070535899	-1.30732243981	-0.688196446506
101298	852822	2542622	-1.46009124024	0.16480448203	-1.1906773569	1.05624333023	1.09272263628	0.336998148597
10133	854078	2540268	0.0990180411986	0.210489368378	-2.18475799421	0.634516699603	0.634516699603	0.606217185426
101331	855593	2541829	1.25792563643	0.651512745535	0.913120194992	-0.446082458562	-1.44953943179	-0.926936686606
1014	855083	2541600	1.48778001786	0.891102225557	0.202474289802	-0.868717729623	-0.252078028464	-1.46056077513
101539	850892	2540407	1.61228038205	0.791408501174	-1.21853012142	-0.0756289614964	0.0232320585061	-1.13276185881
101541	856530	2539676	-1.74859260349	-0.770739397322	0.0441135758582	0.934671161469	0.391997565056	1.14854969843
101552	852330	2540846	1.63545533947	1.04629114204	-0.601822482543	-1.06344159382	-0.175943057265	-0.840539347876
101565	851618	2539188	0.620949915658	-1.20840968988	-1.44044858302	1.29674571967	0.11021272191	0.620949915658
101615	853925	2543068	1.38415704919	0.487608540808	0.949608895331	-0.641105440178	-0.810145790709	-1.37012325445
101618	850824	2542839	-0.400730843763	0.365401847953	1.90274055819	-0.788330567582	-1.2035441375	0.1244631427
