OGs	saccharomyces_cerevisiae	schizosaccharomyces_pombe	W	X	Y	Z
100	856112	2542075	0.0445642980283	1.55421892653	-1.18949650343	-0.40928672113
10039	852491	2543465	0.73088638206	-0.707693725729	1.20592281695	-1.22911547328
100530	850614,852639	2542634	0.674297332828	0.657602597065	-1.7209151823	0.389015252407
100558	851471	2539055	0.417525192304	-0.901972640127	1.44529757979	-0.960850131968
1006	852612	2540419	0.489540143946	0.830373407066	-1.70870473408	0.388791183069
100630	854433	2539189	-0.658056514479	-1.19731442589	1.38166736748	0.473703572887
100661	854418	2543506	0.679094767675	0.955758429167	-1.62022907537	-0.0146241214755
100734	851666	2542925	-0.984731094775	-0.815788251125	1.51012000238	0.290399343518
100743	856924,851676	2542252	-1.03962153762	0.688415240943	-0.916092455564	1.26729875224
10076	854700	2540845	0.536955551127	0.329498012906	-1.70360839915	0.837154835115
100830	851212	2538913	0.511700643773	-0.73558808722	-1.14742314767	1.37131059111
10085	850605	2539648	0.327723740181	1.4124125665	-1.30804686812	-0.432089438557
100934	850543	2543280	1.30394927103	0.522395642161	-1.33687708288	-0.489467830309
10098	854446	2543549	-1.30860893628	1.29271836477	0.56305591713	-0.547165345621
101043	855879	2541666	-1.08731242345	1.26562884739	-0.86376680376	0.685450379818
101105	855243	2540506	0.805975326314	0.953568946369	-1.54802059842	-0.211523674267
10117	856009	2539952	-1.36266586531	-0.288558296618	0.235440397255	1.41578376467
101298	852822	2542622	-1.29838349712	0.756942380241	-0.622212609799	1.16365372668
10133	854078	2540268	-0.378502067696	-0.811607193454	1.71081668441	-0.520707423257
101331	855593	2541829	0.469707488708	0.761693740858	-1.72046824331	0.489067013748
1014	855083	2541600	-1.69996091242	0.865522404361	0.337031811409	0.497406696655
101539	850892	2540407	-0.693059298183	-1.21453229033	1.28930085434	0.618290734171
101541	856530	2539676	-0.493212010031	-1.38392125809	0.738955497791	1.13817777033
101552	852330	2540846	0.804362961712	0.941826585419	-1.5591610756	-0.187028471534
