C0 (1070 objects)	C1 (94 objects)	C2 (483 objects)
2539055	2542075	2543465
2542925	2543506	2542634
2542252	2541829	2539189
2539648	2540081	2538913
2543549	2539723	2543280
2541666	2540343	2539952
2540506	2540746	2543068
2542622	2541503	2541725
2540268	2541067	2539278
2540407	2542233	2542948
2539676	2543626	2542401
2540846	2540779	5802702
2539188	2539146	2541193
2540466	2543360	2541794
2542839	2539280	2542096
2540699	2539372	2539922
2539739	2541538	2541780
2541350	2542438	2541088
2539791	2539434	2541881
2540738	2539121	2539345
2540057	2542871	2539548,2541130
2541233	2542425	2539270
2541584	2543515	2542339
2543358	2542373	2539194
2540405	2543131	2543107
2542481	2539387	2543432
2541195	3361260	2539613
2540976	2540381	2542501
2540517	2539949	2540192
2543328	2538912	2541205
2539795	2540626	2541290
2540295	2539008	2540919
2539788	2540323	2541506
2540303	2540527	2542020
2542023	2540573	2541915
2539154	2540308	2539781
2541642	2541210	2541611
2540479	2539501	2538953
2539701,2540851	2542592	2541706,2539870
2538892,2542912	2539939	2543027
2539680,2543642	2543026	2539937
2539588,2540015	2541315	2543408
2539566	2541306	2543469
2542823	2540425	2542108
2543563	2538868	2538729
2540274	2540520	2539426
2541578	2542936	2540222
2540411	2543040	2539379
2541116,2542190	2542993	2541030
2543471	2539218	2543607
2539976	2543163	2541569
2541317	2540790	2539161
2542937	2542804	2542832
2539293	2540372	2539802
2543316	2540202	2539393
2540071	2540562	2540622
2542607	2539673	2540784
2540319	2541490	3361477
2543678	2541043	2542835
2539918	2542599	2542594
2543609	3361036	2539652
2542253	2538689	5802929
2541165	2540394	2540181
2541179	2540130	2542380
2542951	2542523	2543502
2541183	2543676	2539135
2539343	2540535	2539686
2541379	2541813	2539074
2541634	2542833	2538985,2542447
2542205	2541554	2541078
2539263	2541199	2539694
2541048	2540379	2543661
2539411	3361391	2541010
2541120	2539776	2541123
2540961	2542529	2539152
2541900	2539510	2540055
2540550	2540311	2543454
2539985	2539594	2540570
2543174	2540848	2539679
2542031	2539513	2540392
2541579	2541022	2538952
3361433	2541790	2542997
2543342	2539902	2542071
2543612	2538954	2540725
2540598	2542821	2541270
2542008	2540344	2542667
2541297	2542747	2539953
2541486	2539198	2540068
2538741	2543618	2542077
2542704	2539790	2538976
2542924	2538918	2541907
2541338	2539806	2539017
2540432	2541519	2539083
2540853	2539087	2541180
2541660		2539215
2538841		2543020
2540612		2540589
2538748		2543256
2540279		2538928
2538966,2542390		2542855
2541407		2541849
2541927		2542354
2542084		2543444
2539241		2540255
3361393		2540680
2541738		2539026
2539538		2539378
2543112		3361518
2538712		2543205
2543619		2542062
2541385		2543122
2540594		2541805
2538897		3361462
2539617		2543114
2541468		2542598
2543630		2541117
2542358		2539253
2542920		2539764
2542649		2543580
2538785		2543037
2538821		2539292
2542406		2540448
2541483		2542850
2542721		2542996
2543475		2542177
2541327		2538862
2541128		2543496
2543395		2539670
2540795,2541678		2541158
2542242		2542509
2542467,2541220,2539804		2542435
2538833		2538881,2542638
2541386		2541699
2539289		2540032
2540541		2539996
2539523		2541631
2539729		2542082
2542248		2542502
2540314		2539269
2543669		2542885
2538703		2541526
2540874		2543228
2542112		2541744
2541630		2542366
2540503		2541690
2539592		2542651
2539835		2538999
2540252		2543386
2540018		2541726
2541719		2540633
2540672		2542537
2540471		2539926
2541380		2543490
2538753		2541300
2543175		2541508
2543241		2542532
2539045,2541983,2541531		2543305
2542124		2540205
2539861		2539616
2541157		2542225
2540027		2541887
2539563		2539170
2540674		2540821
2542560		2541436
2543219		2540385
2541293		2541412
2540076		2541216
2538768		2541985
2540469		2542415
2543212		2538859
2539758		2543284
2540362		2539826
2543087		2539580
2540320		2541632,2539460
2542534		2541871,2541153
2539924		2539845
2542064		2543406
2541461		2542148
2542281		2540050
2539441		2540525
2539889		2541875
2542554		2542078
