C0 (1070 objects)	C1 (94 objects)	C2 (483 objects)
851471	856112	852491
851666	854418	850614,852639
856924,851676	855593	854433
850605	856855	851212
854446	854527	850543
855879	856169	856009
855243	856691	853925
852822	855168	851591
854078	856533	850643
850892	854385	853303,853933
856530	855346	854168
852330	853104	854419
851618	856672	856870
856386,853861	856263	850805
850824	852538	855503
855663	854902,851169	855784
853628	851256	855842
854808,855288	852194	854933
855925	852248	853344
856704	851925	855866
852757	852952	852775
851480	856388,853864	851516
853559	856070	856201
855936	852842	850691
853671	850963	850409
850872	855356	855783
855587	855952	851932
851833	853427	852081
850682,856352	855203	853009
850964,854342	854435	853361,853891
852545	851158	855436
854703	852712	854406,855963
853643	853130	856222
853083	856370	850368,855736
851337	852521	853962
853896	850973	855898
856837	854539	852172
851548	850530	850612
853993	851935	854026
854117	854745	850930
855972	853503	854261
854551	855594	852424
854420	855869	853782
855501	856006	851636
854309	856092	851620
852922,851058	853318	855532
850550	854152	854855
852758	850554	854179
852293	852752	850620
854014,852154,852720,852844	853475	850317
852602,854635,853235,853204,854008,853214,853209	853298	856384
854677	856576	855043
852241	850366	854320
855558	856910	856042
852231	852670	851429
853161	854153	851518
854088	853187	852673
855400	852247	856886
856078	852469	853384
855919	856398	855447
851364	855892	856779
851387	855984,854379	852763
851545	851606	854135
856775	855196	851468
854696	851979	852199
853374	856919	852245
853421	852992	850430
853494	856466	851454
853714	856520	851865
853964	853640	851878
851137	853690	851895
854895	850654	856673
854943	850719	856702
855241	850758	852607
854428	850996	852735
856065	854930	856387
854732	854935	856490
851073	855190	856508
853322	855444	856514
854513	856418	856577
856925	851358	854742
856187	853739	853363,853888
855395	855640	854869
853710	854090	855101
850549	854262	855102
852224,856823	854326	855319
851660	852066	855626
855420	854432	855764
856722	855845	854020
851812	855981	854372
852391	856000	854424
854105	851800	856220
856600	852685	856317
850392	852577	853052
851342		851671
851114		850714
851076		853422
854867		854164
855747		855708
855761		853651
852306		851391
853585		853033
850444		850941
851892		851456
856121		851647
850676		854882
853922		854544
854157		853036
852017		853168
854653		852239
853806		856731
850628		854328
855269		854284
855310		852037
855418,854036		851493
854162		852515,852824
850585		852523
853602		850370
850500		856831
850581		851814
850588		851899
853183		851911
850558		852647
855474		852679
851484,851122		856391
852797		855675
851768		853307,853927
853393		853906
850764		851266
852565		850829
852295		850906
852107		854680
852200		852772
852568		854156
855636		852394
